Date,일성건설,형지엘리트,코나아이,에이텍모빌리티,슈프리마에이치큐,카스,지엘팜텍,앱트뉴로사이언스,이스타코,코이즈
2025-04-17,3515,2750,32900,16900,6880,2070,1029,3635,1651,1505
2025-04-18,3640,2765,33950,17500,7060,2150,1030,3720,1718,1521
2025-04-21,3510,2700,35800,17800,7020,2075,1029,3970,1663,1517
2025-04-22,3340,2520,35850,16810,7210,1980,1092,4600,1555,1465
2025-04-23,3290,2420,33350,16430,7010,1919,1419,4695,1492,1413
2025-04-24,3205,2440,32150,16670,7230,1917,1427,4765,1495,1423
2025-04-25,3315,2405,32900,16960,7220,1939,1342,4335,1528,1437
2025-04-28,3150,2170,35050,16360,7160,1876,1260,4180,1385,1350
2025-04-29,2980,2080,35800,15410,9300,1872,1353,4185,1319,1352
2025-04-30,3350,2655,39100,16600,8230,1980,1370,4170,1582,1425
2025-05-02,2945,2400,36150,15330,7730,1812,1338,3890,1390,1293
2025-05-07,3380,2710,46950,16700,7740,1956,1360,3815,1668,1399
