Date,일성건설,형지엘리트,코나아이,에이텍모빌리티,슈프리마에이치큐,카스,지엘팜텍,앱트뉴로사이언스,이스타코,코이즈
2025-04-21,3510,2700,35800,17800,7020,2075,1029,3970,1663,1517
2025-04-22,3340,2520,35850,16810,7210,1980,1092,4600,1555,1465
2025-04-23,3290,2420,33350,16430,7010,1919,1419,4695,1492,1413
2025-04-24,3205,2440,32150,16670,7230,1917,1427,4765,1495,1423
2025-04-25,3315,2405,32900,16960,7220,1939,1342,4335,1528,1437
2025-04-28,3150,2170,35050,16360,7160,1876,1260,4180,1385,1350
2025-04-29,2980,2080,35800,15410,9300,1872,1353,4185,1319,1352
2025-04-30,3350,2655,39100,16600,8230,1980,1370,4170,1582,1425
2025-05-02,2945,2400,36150,15330,7730,1812,1338,3890,1390,1293
2025-05-07,3380,2710,46950,16700,7740,1956,1360,3815,1668,1399
2025-05-08,3320,2595,48550,16280,7840,1902,1320,3500,1598,1347
2025-05-09,3175,2465,45000,15500,7570,1876,1310,3490,1595,1323
2025-05-12,3090,2650,45000,15590,7600,1892,1291,3345,1571,1364
2025-05-13,2960,2590,43900,15300,7470,1861,1301,3340,1481,1326
2025-05-14,2745,2485,43300,14630,7490,1776,1297,3390,1412,1294
2025-05-15,2525,2280,41550,13850,7250,1680,1284,4405,1259,1225
2025-05-16,2625,2250,45350,14300,7250,1670,1251,4025,1218,1196
2025-05-19,2415,2090,41550,13080,7110,1602,1266,4290,1121,1169
2025-05-20,2565,2145,41750,13250,7250,1604,1285,4320,1185,1162
2025-05-21,2485,2095,41650,13350,7240,1604,1301,4265,1167,1150
2025-05-22,2460,2000,40000,13120,7080,1552,1296,4060,1117,1111
2025-05-23,2430,2040,39800,12940,7050,1550,1290,4230,1120,1110
2025-05-26,2365,1928,40250,12330,7200,1500,1299,4255,980,1088
2025-05-27,2275,1950,40250,12190,7020,1495,1282,4000,967,1083
2025-05-28,2380,1905,42100,12670,7010,1518,1274,3695,963,1116
2025-05-29,2435,1964,43650,13160,7400,1559,1281,3845,1105,1148
