Date,삼보산업,넥스트아이,YBM넷,태영건설,에쎈테크,비트컴퓨터,삼영,대성창투,비케이홀딩스,윌비스
2025-03-31,1893,399,3475,2555,524,4465,3755,1662,546,507
2025-04-01,2090,416,3740,2665,529,4625,3815,1883,550,551
2025-04-02,2025,422,3660,2610,511,4545,3815,1873,576,606
2025-04-03,2225,467,3705,2525,525,4535,3735,1989,587,576
2025-04-04,2535,510,4040,2535,520,4710,3895,2165,730,748
2025-04-07,2600,533,4265,2390,516,4550,3750,2245,680,972
2025-04-08,3070,573,4460,2380,516,4585,3755,2365,639,952
2025-04-09,2740,523,4200,2395,670,4460,3625,2270,612,824
2025-04-10,2880,543,4470,2505,618,4655,3855,2645,795,884
2025-04-11,2945,557,4460,2575,572,4755,3915,2680,753,828
2025-04-14,3380,685,4505,2525,571,4810,4085,2655,770,820
2025-04-15,3100,687,4360,2520,598,4840,4020,2485,771,810
2025-04-16,2920,705,4260,2495,583,5240,4000,2540,713,741
2025-04-17,2935,753,4385,2530,593,5150,4000,2740,720,778
2025-04-18,3075,734,4490,2500,588,5400,4000,2650,714,847
