Date,삼보산업,넥스트아이,YBM넷,태영건설,에쎈테크,비트컴퓨터,삼영,대성창투,비케이홀딩스,윌비스
2025-04-21,2960,706,4450,2490,586,5330,4010,2780,715,840
2025-04-22,2780,662,4260,2420,589,5230,4010,2555,707,820
2025-04-23,2690,631,4265,2450,600,5210,4105,2430,723,753
2025-04-24,2875,669,4385,2445,607,5250,4220,2465,742,721
2025-04-25,2925,655,4270,2465,583,5270,4080,2490,765,732
2025-04-28,2785,614,4125,2660,585,5240,4030,2560,764,640
2025-04-29,2895,659,4220,3160,575,5280,4065,2455,740,712
2025-04-30,2900,647,4145,2875,570,5310,4040,2655,734,690
2025-05-02,3070,764,4340,3310,560,5110,4000,2890,756,660
2025-05-07,2815,696,4105,3015,531,5270,4085,2390,753,693
2025-05-08,2825,705,4215,2785,529,5310,4145,2195,787,690
2025-05-09,2905,797,4505,2640,546,5300,4120,2085,760,704
2025-05-12,3775,1036,5510,2560,560,5420,4255,2075,775,915
2025-05-13,2900,1004,4760,2580,546,5340,4115,2040,744,769
2025-05-14,2720,959,4530,2590,542,5400,4235,2055,740,719
2025-05-15,2715,963,4335,2570,534,5330,4215,1923,962,681
2025-05-16,2835,1048,4385,2540,558,5220,4050,1899,815,708
2025-05-19,2140,740,3750,2525,523,5160,3950,1855,773,576
2025-05-20,2180,712,3785,2610,534,5150,4040,1907,744,596
2025-05-21,2070,652,3800,2685,527,5210,4060,1931,780,585
2025-05-22,2095,621,3860,2590,529,5200,3905,1931,760,555
2025-05-23,2150,661,3850,2650,539,5220,3890,1875,767,570
2025-05-26,1813,547,3595,2705,535,4980,3890,1853,784,503
2025-05-27,1710,522,3580,2845,527,5000,3900,1830,817,485
2025-05-28,1602,467,3570,2820,504,5050,4055,1869,799,467
2025-05-29,1571,445,3540,2865,515,5120,4060,1886,782,476
