Date,현대건설,두산중공업,특수건설,삼호개발,한라건설,이화공영,성신양회,대우건설
2007-08-09,64503.10546875,70760.2890625,10980.0576171875,6081.7138671875,14240.1513671875,1413.212158203125,16033.2822265625,25621.900390625
2007-08-10,63776.53125,66663.6484375,12603.869140625,6504.9833984375,13591.736328125,1623.7711181640625,15405.3486328125,24672.939453125
2007-08-13,61919.7421875,64205.66015625,12603.869140625,7462.9072265625,13591.736328125,1623.7711181640625,15279.7626953125,24198.458984375
2007-08-14,59659.31640625,61226.27734375,16624.736328125,7128.74755859375,13167.775390625,2143.530029296875,14149.4765625,24672.939453125
2007-08-16,51021.234375,52884.01171875,14150.35546875,6059.43603515625,11197.595703125,1824.845703125,14400.6513671875,23629.0859375
2007-08-17,49729.55859375,52958.4921875,14846.2744140625,5435.6708984375,10923.2666015625,2098.00390625,12809.8818359375,22395.4375
2007-08-20,55945.75,58172.4140625,17050.017578125,6237.65478515625,11870.94921875,2409.099609375,13395.955078125,24008.669921875
2007-08-21,54088.9609375,58470.3515625,19601.72265625,7173.3037109375,12070.458984375,2769.516845703125,13228.5048828125,24767.8359375
2007-08-22,55703.55859375,59066.22265625,16663.3984375,6103.99072265625,11920.8251953125,2560.8544921875,14107.6162109375,25906.587890625
2007-08-23,58125.4453125,59885.55078125,14189.017578125,5212.896484375,12569.23828125,2359.77978515625,15196.0361328125,26238.72265625
2007-08-24,58932.75,61524.21484375,13570.4228515625,5235.173828125,12469.4833984375,2712.6083984375,15237.8984375,26096.37890625
2007-08-27,60143.7109375,62045.6015625,11559.9892578125,4455.46826171875,12718.873046875,2390.130126953125,15865.8359375,25716.796875
2007-08-28,60547.35546875,65173.95703125,11637.314453125,4366.357421875,12494.421875,2162.4990234375,16075.146484375,26096.37890625
