Date,현대건설,두산중공업,특수건설,삼호개발,한라건설,이화공영,성신양회,대우건설
2007-11-09,61031.71875,116940.6953125,16238.1123046875,4192.5947265625,14464.6005859375,6089.142578125,10633.0380859375,24672.939453125
2007-11-12,58125.4609375,107630.1328125,18403.193359375,4335.17041015625,14115.453125,6582.34326171875,10172.5537109375,24672.939453125
2007-11-13,59336.4140625,104278.328125,15851.4921875,3849.52392578125,14190.2705078125,5766.6640625,10465.5888671875,24672.939453125
2007-11-14,61596.828125,108374.9765625,14459.6533203125,3675.761474609375,14190.2705078125,5197.5859375,11260.974609375,24672.939453125
2007-11-15,62161.953125,102788.640625,14575.640625,3675.761474609375,13965.8203125,5463.1552734375,11302.8359375,24672.939453125
2007-11-16,60950.98828125,103161.0546875,13686.408203125,3622.29541015625,14165.33203125,5064.80029296875,11302.8359375,24672.939453125
2007-11-19,62000.484375,102788.640625,15735.50390625,4161.4072265625,14140.39453125,5823.57177734375,11847.0478515625,24672.939453125
2007-11-20,60628.078125,103533.4765625,14846.2744140625,3858.435791015625,13866.064453125,5842.54248046875,11554.0107421875,24672.939453125
2007-11-21,58044.72265625,100554.109375,17050.017578125,4277.24853515625,13467.041015625,6715.12890625,11428.4228515625,24672.939453125
2007-11-22,56107.203125,96085.03125,19601.72265625,4477.74462890625,13417.1630859375,7720.5009765625,11805.1845703125,24672.939453125
2007-11-23,56349.40234375,90871.1171875,18480.517578125,4009.92138671875,12569.2392578125,8384.42578125,12014.498046875,24672.939453125
2007-11-26,59497.8671875,101671.3671875,21225.537109375,4611.4091796875,12943.3203125,9636.3994140625,12223.80859375,24672.939453125
2007-11-27,60224.41796875,103905.90625,21612.154296875,4611.4091796875,13965.8203125,11078.0673828125,12349.396484375,24672.939453125
2007-11-28,59094.21484375,99809.2578125,18403.193359375,4197.05029296875,13965.8203125,10622.802734375,12140.083984375,24672.939453125
2007-11-29,60143.6953125,102788.640625,19331.087890625,4330.71533203125,14190.2705078125,12216.22265625,11888.91015625,24672.939453125
2007-11-30,62565.59375,104278.328125,19176.435546875,4317.3486328125,14265.0888671875,13468.197265625,12140.083984375,24672.939453125
2007-12-03,65310.40625,106512.859375,22037.44140625,4945.56982421875,14215.2099609375,15478.94140625,11051.6630859375,24672.939453125
2007-12-04,67974.484375,106140.4453125,25323.7265625,5680.7216796875,14165.33203125,17793.19140625,11679.59765625,24672.939453125
2007-12-05,68943.25,106885.2890625,29112.6171875,6527.2607421875,14065.5751953125,19424.552734375,11721.4599609375,24672.939453125
2007-12-06,69023.9765625,105768.0234375,33442.78125,7485.18701171875,13965.8203125,22307.884765625,12558.70703125,24672.939453125
2007-12-07,65794.7734375,101671.3671875,38430.20703125,8599.0537109375,13866.064453125,25532.666015625,13144.7802734375,25432.107421875
2007-12-10,62969.2421875,91988.3828125,32669.53515625,7329.2451171875,13641.6142578125,21738.80859375,13144.7802734375,24672.939453125
2007-12-11,63534.359375,93105.65625,27798.103515625,6237.65625,13566.7978515625,18514.025390625,13395.955078125,24815.28515625
2007-12-12,65875.5078125,96457.453125,23661.25,7173.30322265625,13192.7138671875,15744.509765625,14065.7529296875,24910.1796875
2007-12-13,67974.484375,91615.953125,20142.990234375,6103.99072265625,13516.921875,13392.3173828125,14149.4775390625,24103.56640625
2007-12-14,70800.03125,93478.078125,20954.8984375,6995.0859375,13965.8203125,11400.544921875,13940.1650390625,25099.97265625
2007-12-17,69508.3515625,87891.7421875,17823.26171875,6282.2099609375,13915.94140625,9693.3076171875,12977.3310546875,25052.5234375
2007-12-18,73867.7578125,91988.3828125,20490.953125,7217.85693359375,13716.431640625,11134.9736328125,13395.955078125,25194.869140625
2007-12-20,70315.6484375,92733.234375,17436.638671875,6148.54443359375,13716.431640625,9465.6748046875,13647.12890625,24388.251953125
2007-12-21,71284.4140625,92360.8046875,15696.8408203125,5235.1748046875,13940.8818359375,8061.94775390625,13563.4033203125,23771.4296875
2007-12-24,71930.2578125,94967.7578125,16624.736328125,4901.0146484375,14065.5751953125,6866.88330078125,13730.8525390625,24198.4609375
2007-12-26,70880.7734375,93850.4921875,15890.1533203125,4811.90478515625,14065.5751953125,6297.8046875,13940.1650390625,24198.4609375
2007-12-27,72378.5390625,96467.8359375,16006.9931640625,4867.98779296875,14319.466796875,6849.576171875,13898.302734375,24392.048828125
2007-12-28,71407.0078125,94224.3984375,13825.9912109375,4378.9453125,14547.96875,6050.45849609375,13563.4033203125,23908.078125
2008-01-02,75616.9375,89737.5234375,15890.1533203125,5025.01953125,14801.8603515625,6944.70849609375,14358.7890625,24682.4296875
2008-01-03,76831.359375,93850.5,18265.88671875,5765.31201171875,14700.3056640625,7972.14599609375,14358.7890625,24827.62109375
2008-01-04,79341.1171875,101328.6171875,17136.439453125,5159.6181640625,15131.9189453125,8752.236328125,14986.7236328125,25311.58984375
2008-01-07,78369.59375,102450.3359375,17993.26171875,5226.91796875,15233.4775390625,10065.0693359375,16075.1474609375,25166.3984375
2008-01-08,72459.4765625,99459.09375,20680.56640625,5518.548828125,15233.4775390625,11568.171875,15782.111328125,25069.60546875
2008-01-09,73592.921875,105441.59375,21459.49609375,5226.91796875,15182.69921875,13299.5927734375,16535.630859375,25021.208984375
2008-01-10,72783.3359375,101702.53125,18265.88671875,4800.689453125,15436.5908203125,11320.8251953125,16326.3193359375,24488.841796875
2008-01-11,70030.6796875,99459.09375,17331.171875,4733.3896484375,15055.751953125,11092.5068359375,15949.55859375,23908.078125
2008-01-14,69625.8828125,100580.8125,16591.1875,4576.35693359375,15081.142578125,11282.7724609375,15698.384765625,23278.919921875
2008-01-15,69787.796875,100954.71875,17019.599609375,4643.6572265625,15081.142578125,10502.6826171875,14358.7890625,22262.583984375
2008-01-16,68816.28125,99832.9921875,14799.65234375,4123.2080078125,15055.751953125,8942.501953125,13479.6796875,21681.8203125
2008-01-17,68897.234375,94598.3046875,14488.0810546875,3988.609375,15233.4775390625,7953.119140625,13354.091796875,19407.166015625
2008-01-18,71245.0859375,92728.7734375,16630.138671875,4419.3251953125,15436.5908203125,9132.767578125,13982.02734375,19165.181640625
2008-01-21,64849.21484375,85998.4609375,16746.9765625,4307.1591796875,15360.423828125,10502.6826171875,13019.193359375,18729.609375
2008-01-22,60963.125,76650.8046875,15267.009765625,3809.144287109375,15182.69921875,10883.21484375,12474.982421875,17374.49609375
2008-01-23,59748.71875,74781.2734375,15267.009765625,3939.25634765625,14801.8603515625,10864.189453125,11972.634765625,18052.05078125
2008-01-24,61529.83203125,78520.3359375,15578.580078125,4069.36865234375,15106.5302734375,10883.21484375,12265.6708984375,18632.814453125
2008-01-25,62177.53515625,84876.734375,15500.689453125,4096.2880859375,15233.4775390625,9912.8583984375,12391.2578125,18245.640625
