Date,현대엘리베이터,한창,현대상선,에머슨퍼시픽,신원
2007-10-04,56522.18359375,3204.40234375,223068.671875,2800.0,1990.6455078125
2007-10-05,53724.05078125,3222.106201171875,228865.65625,2860.0,2005.3907470703125
2007-10-08,53724.05078125,3151.290771484375,229561.296875,2940.0,1961.154296875
2007-10-09,53910.58984375,3168.99462890625,221213.625,2820.0,1975.8997802734375
2007-10-10,55589.47265625,3186.6982421875,238372.71875,2400.0,2071.745849609375
2007-10-11,56335.64453125,3186.6982421875,244865.390625,2360.0,2079.1181640625
2007-10-12,55029.84765625,3204.40234375,235126.40625,2420.0,2167.591552734375
2007-10-15,57081.80078125,3239.810302734375,237908.96875,2440.0,2064.373046875
2007-10-16,57081.80078125,3452.2568359375,246720.453125,2340.0,1916.91748046875
2007-10-17,54470.20703125,3646.999267578125,243010.328125,2340.0,1990.6455078125
2007-10-18,52791.35546875,3452.2568359375,234662.65625,2390.0,2020.136474609375
2007-10-19,51112.47265625,3346.033447265625,218431.046875,2380.0,2016.4500732421875
2007-10-22,48873.96484375,3204.40234375,205677.65625,2600.0,1946.4088134765625
2007-10-23,51112.47265625,3186.6982421875,208460.21875,2620.0,2023.8228759765625
