Date,우리들제약,에이엔피,피에스엠씨,바른손,유성티엔에스,서희건설,조광페인트
2012-09-06,27900.0,10554.64453125,315.0,14919.6259765625,3124.050537109375,797.1063842773438,5777.69091796875
2012-09-07,26700.0,10554.64453125,334.0,14832.546875,3180.851318359375,801.115966796875,5784.7890625
2012-09-10,23450.0,9117.88671875,329.0,14164.9365234375,3314.73876953125,801.115966796875,5614.439453125
2012-09-11,26950.0,9421.81640625,326.0,15355.0234375,3489.19921875,918.1959228515625,5884.1591796875
2012-09-12,30950.0,9615.2265625,318.0,16864.40234375,3838.118896484375,1054.5218505859375,6764.298828125
2012-09-13,34000.0,9145.5166015625,325.0,16893.4296875,3951.720703125,1210.89599609375,7665.732421875
2012-09-14,30700.0,8592.91796875,319.0,16109.712890625,4636.64794921875,1323.1646728515625,7346.32763671875
2012-09-17,30100.0,8648.177734375,324.0,16429.00390625,4636.64794921875,1263.020751953125,7083.705078125
2012-09-18,29300.0,9366.556640625,318.0,15964.580078125,4496.826171875,1162.7808837890625,7133.3896484375
2012-09-19,29600.0,9698.1162109375,344.0,16458.03125,4456.2333984375,1114.6656494140625,7055.3134765625
2012-09-20,25200.0,8979.7373046875,322.0,15180.8642578125,4059.322265625,1050.5125732421875,6388.1103515625
2012-09-21,22150.0,8371.8779296875,326.0,13744.052734375,3924.010986328125,1002.3972778320312,5976.43115234375
2012-09-24,18850.0,7681.12890625,321.0,12336.2666015625,3761.638427734375,934.2343139648438,5493.7744140625
2012-09-25,21650.0,7957.4287109375,308.0,13149.0087890625,3887.92822265625,978.3397216796875,5685.41748046875
