Date,우리들제약,에이엔피,피에스엠씨,바른손,유성티엔에스,서희건설,조광페인트
2012-11-09,24600.0,7073.27001953125,293.0,11625.1171875,3008.4091796875,878.10009765625,4826.572265625
2012-11-12,27350.0,7100.89990234375,300.0,11813.7890625,3103.126220703125,894.138427734375,5004.0205078125
2012-11-13,27600.0,6741.71044921875,305.0,11320.3388671875,3085.084716796875,858.0521240234375,4925.94287109375
2012-11-14,30150.0,7736.388671875,312.0,11886.35546875,3369.237060546875,890.12890625,5664.12451171875
2012-11-15,28250.0,8896.84765625,301.0,11247.7724609375,3400.809814453125,858.0521240234375,6054.5087890625
2012-11-16,28500.0,9034.9970703125,300.0,11146.1796875,3247.45751953125,858.0521240234375,5869.9638671875
2012-11-19,29550.0,9532.3359375,298.0,11654.1435546875,3418.851318359375,906.1671142578125,5742.201171875
2012-11-20,26200.0,8869.216796875,295.0,11233.259765625,3188.823486328125,874.0904541015625,5344.71923828125
2012-11-21,23750.0,9338.9267578125,277.0,11030.07421875,3112.146484375,833.9945678710938,5160.17333984375
2012-11-22,26000.0,9007.3671875,283.0,11276.798828125,3193.33349609375,842.0137939453125,5231.15283203125
2012-11-23,23500.0,8067.9482421875,302.0,10304.4111328125,3044.4912109375,809.9369506835938,4798.1806640625
2012-11-26,27000.0,9256.037109375,301.0,11842.81640625,3500.037353515625,930.2247314453125,5515.068359375
2012-11-27,31050.0,9007.3671875,304.0,13613.43359375,3436.892578125,946.2630615234375,5834.47412109375
2012-11-28,31050.0,8482.3974609375,301.0,13424.7607421875,3247.45751953125,894.138427734375,5529.26513671875
2012-11-29,29250.0,7736.388671875,305.0,13555.3798828125,3071.5537109375,886.1193237304688,5749.29931640625
2012-11-30,28250.0,7874.53857421875,320.0,13584.40625,3053.51220703125,886.1193237304688,5593.1455078125
2012-12-03,28900.0,7625.869140625,308.0,13294.1416015625,3089.59521484375,882.1095581054688,5373.1103515625
2012-12-04,24600.0,7349.5693359375,311.0,12452.373046875,2931.732666015625,842.0137939453125,4847.86572265625
2012-12-05,23250.0,7073.27001953125,315.0,14193.962890625,2818.9736328125,797.9083251953125,4947.23681640625
2012-12-06,19800.0,6465.41064453125,316.0,12336.2666015625,2525.800048828125,761.0200805664062,4450.3828125
2012-12-07,16950.0,5995.701171875,316.0,12481.3994140625,2295.772216796875,755.4065551757812,4088.390625
2012-12-10,14450.0,5111.54248046875,326.0,10609.189453125,1952.985107421875,689.6493530273438,3477.97119140625
2012-12-11,12300.0,5122.5947265625,322.0,9027.244140625,1840.2259521484375,626.2979125976562,2956.275390625
2012-12-12,10600.0,5017.6005859375,324.0,7677.51171875,1880.8192138671875,638.3267211914062,3041.4501953125
2012-12-13,10450.0,4873.9248046875,326.0,6589.017578125,1907.8812255859375,648.7516479492188,2988.2158203125
2012-12-14,10900.0,4973.39306640625,326.0,6501.93798828125,2007.1092529296875,669.6013793945312,3052.097412109375
2012-12-17,9300.0,4575.521484375,321.0,5529.55029296875,1894.350341796875,653.5631103515625,2949.177734375
2012-12-18,8750.0,4879.451171875,325.0,5573.08984375,1993.578369140625,657.5726928710938,3066.292724609375
2012-12-20,7440.0,4586.5732421875,325.0,4745.83447265625,1763.5496826171875,618.2787475585938,2746.887451171875
2012-12-21,6330.0,4779.98291015625,332.0,4034.684814453125,1750.0186767578125,639.9304809570312,2789.474609375
2012-12-24,6390.0,4641.83349609375,350.0,4150.791015625,1817.6741943359375,653.5631103515625,2860.4541015625
2012-12-26,7340.0,4873.9248046875,363.0,4760.34765625,1921.4124755859375,673.6111450195312,3087.58642578125
2012-12-27,6880.0,4691.5673828125,355.0,4353.9765625,1853.43798828125,667.1956787109375,3069.075927734375
