Date,EG,동양물산,대유에이텍,대유신소재,아가방컴퍼니,보령메디앙스,세운메디칼
2012-11-09,39138.07421875,3642.03369140625,4496.82568359375,20326.708984375,9881.9560546875,10352.2333984375,3186.798583984375
2012-11-12,39138.07421875,3595.03955078125,4470.3740234375,20387.337890625,9812.7822265625,10179.697265625,3199.5966796875
2012-11-13,38257.46484375,3418.81201171875,4351.34033203125,20447.966796875,9476.7958984375,9834.6220703125,3199.5966796875
2012-11-14,38355.3125,3407.063232421875,4324.88818359375,20538.912109375,9881.9560546875,10265.9658203125,3301.98388671875
2012-11-15,38257.46484375,3277.82958984375,4311.66162109375,20175.119140625,9733.7275390625,10007.1591796875,3169.73388671875
2012-11-16,37279.015625,3031.111572265625,4232.306640625,19811.33203125,9585.4970703125,9662.0849609375,2973.4921875
2012-11-19,36545.17578125,3078.105712890625,4364.56640625,20190.279296875,9565.7333984375,9662.0849609375,3063.08056640625
2012-11-20,37279.015625,3207.339111328125,4443.921875,20675.33984375,9980.7763671875,9964.025390625,3028.95166015625
2012-11-21,36007.02734375,3125.09912109375,4245.5322265625,20978.48828125,9545.9697265625,9532.681640625,2875.370849609375
2012-11-22,37327.94140625,3266.081787109375,4404.24462890625,21478.697265625,9980.7763671875,9920.890625,2913.76611328125
2012-11-23,38208.54296875,3395.315185546875,4523.2783203125,21781.865234375,10079.5947265625,10136.5625,2824.17724609375
2012-11-26,43932.48828125,3900.500244140625,5197.80126953125,21281.650390625,11561.888671875,11646.263671875,3046.015869140625
2012-11-27,50390.26953125,4017.98583984375,4814.24853515625,21463.544921875,12154.8056640625,12508.94921875,2952.1611328125
2012-11-28,51955.79296875,4158.96728515625,4801.0224609375,21418.0703125,12055.986328125,12250.1435546875,2947.895751953125
2012-11-29,47944.140625,3853.505615234375,4549.7294921875,21433.224609375,11265.4296875,11301.1884765625,2883.903564453125
2012-11-30,47846.29296875,3771.26708984375,4589.4072265625,21311.966796875,10870.15234375,10999.2490234375,2900.9677734375
2012-12-03,49705.34765625,3806.51220703125,4576.18212890625,21675.759765625,10721.9228515625,10999.2490234375,2862.57275390625
2012-12-04,48237.67578125,3489.302734375,4549.7294921875,21675.759765625,10474.8740234375,10611.0400390625,2819.911865234375
2012-12-05,43443.26171875,3066.357177734375,4192.62890625,22054.69921875,9466.9140625,9532.681640625,2704.72607421875
2012-12-06,44568.4765625,3136.84814453125,4232.306640625,22039.5390625,9842.427734375,9705.2197265625,2662.064453125
2012-12-07,43883.56640625,3101.601806640625,4245.5322265625,22433.6484375,9585.4970703125,9489.5478515625,2704.72607421875
2012-12-10,38893.4609375,2702.154052734375,4020.691650390625,22600.38671875,8587.419921875,8488.83203125,2730.32275390625
2012-12-11,33120.59375,2678.656982421875,3703.268310546875,22373.017578125,7302.765625,7220.68310546875,2525.548583984375
2012-12-12,33267.36328125,2631.66259765625,3795.849853515625,22585.2265625,6867.95947265625,6703.07177734375,2529.814453125
2012-12-13,37181.171875,2772.644775390625,3967.787353515625,23237.017578125,7243.47412109375,6987.7578125,2563.944091796875
2012-12-14,34294.73828125,2561.171875,3769.39794921875,22964.173828125,6798.78564453125,6383.87744140625,2585.27392578125
2012-12-17,36300.56640625,2843.135498046875,3875.205810546875,22782.275390625,6927.2509765625,6470.146484375,2585.27392578125
2012-12-18,37915.0078125,2760.895751953125,4020.691650390625,22964.173828125,7638.751953125,7436.35498046875,2598.072998046875
2012-12-20,43590.03125,3172.093505859375,4615.85986328125,22782.275390625,8775.177734375,8549.2197265625,2790.048828125
2012-12-21,48433.36328125,3101.601806640625,4483.599609375,21857.64453125,10079.5947265625,9791.48828125,2738.854736328125
2012-12-24,43051.8828125,2819.638427734375,4020.691650390625,22342.697265625,9545.9697265625,9920.890625,2738.854736328125
2012-12-26,42171.27734375,2772.644775390625,4047.142822265625,22282.068359375,9862.1923828125,10869.845703125,2687.661865234375
2012-12-27,38987.6171875,2689.34619140625,4047.142822265625,22792.4609375,8929.5498046875,9895.6357421875,2705.670654296875
2012-12-28,39036.59375,2772.644775390625,4128.0859375,23188.587890625,9177.5927734375,10555.3447265625,2748.5498046875
2013-01-02,42759.0234375,2915.441650390625,4209.029296875,24011.30859375,10517.025390625,12138.646484375,2847.171630859375
2013-01-03,39918.22265625,2832.1435546875,4101.10498046875,23508.537109375,10070.5478515625,12798.3564453125,2791.428466796875
2013-01-04,40163.1171875,2939.241455078125,4141.5771484375,23234.296875,10169.765625,12930.2978515625,2765.70166015625
2013-01-07,38987.6171875,2927.341796875,4155.06689453125,23158.1171875,9802.662109375,12446.5107421875,2748.5498046875
2013-01-08,38497.8203125,2879.742431640625,4060.633544921875,22853.41015625,9614.1494140625,11918.744140625,2727.1103515625
2013-01-09,38057.00390625,2867.84326171875,3979.690673828125,22853.41015625,9594.3056640625,11830.7822265625,2774.277099609375
2013-01-10,38057.00390625,2951.14111328125,3979.690673828125,23310.466796875,9574.4619140625,11698.8408203125,2752.83740234375
2013-01-11,38057.00390625,2951.14111328125,3952.709716796875,23356.17578125,9306.5751953125,11215.0537109375,2727.1103515625
2013-01-14,37567.203125,2879.742431640625,3979.690673828125,23645.658203125,9127.984375,11215.0537109375,2761.413330078125
2013-01-15,36538.63671875,2772.644775390625,3925.72900390625,23036.236328125,8750.958984375,10555.3447265625,2757.125732421875
2013-01-16,38399.859375,2808.343994140625,3925.72900390625,22731.521484375,8810.4892578125,10599.326171875,2757.125732421875
2013-01-17,37322.30859375,2796.44384765625,3898.747802734375,22381.1015625,8949.3935546875,11039.1318359375,2714.24658203125
2013-01-18,37175.375,2796.44384765625,3898.747802734375,22548.69140625,8830.3330078125,10467.3837890625,2701.38330078125
2013-01-21,37469.25,2832.1435546875,3925.72900390625,22152.5625,8830.3330078125,10423.4033203125,2654.215576171875
2013-01-22,37959.04296875,2832.1435546875,4047.142822265625,22548.69140625,8731.115234375,10203.5,2739.97412109375
