Date,안랩,케이씨피드,솔고바이오,써니전자,월비스
2012-11-09,,,,,
2012-11-10,0.0,0.0,0.0,0.0,0.0
2012-11-11,0.0,0.0,0.0,0.0,0.0
2012-11-12,-2.276429341882358,-3.742512123733577,-1.520912547528519,0.0,-3.407149441769952
2012-11-13,-6.1788871473683615,-8.98203794043021,-9.125475285171103,-4.972368023069773,-11.243606814845164
2012-11-14,-17.560988826082735,-13.473052488910508,-19.39163498098859,-19.15284739729287,-16.013631397452976
2012-11-15,-19.512206471151384,-21.407192340777094,-19.771863117870726,-23.84898915695772,-18.398630885315313
2012-11-16,-25.528472759880405,-25.74849579214451,-24.486692015209133,-35.267038570788934,-23.509363583597942
2012-11-17,-25.528472759880405,-25.74849579214451,-24.486692015209133,-35.267038570788934,-23.509363583597942
2012-11-18,-25.528472759880405,-25.74849579214451,-24.486692015209133,-35.267038570788934,-23.509363583597942
2012-11-19,-24.390261841497328,-25.14970446451068,-22.0532319391635,-36.46408630417153,-21.465080747038144
2012-11-20,-25.203253557950433,-28.143727428701958,-23.574144486692017,-41.16021822111035,-25.383300897948047
2012-11-21,-24.22765599309047,-31.137728284219214,-24.182509505703422,-44.014731804908905,-21.294718153573022
2012-11-22,-31.95121614404538,-34.8802404079528,-33.00380228136882,-51.749539631096596,-19.93185154836288
2012-11-23,-32.60163203255657,-29.64072343472578,-32.01520912547529,-52.578267634941554,-25.04259278227322
2012-11-24,-32.60163203255657,-29.64072343472578,-32.01520912547529,-52.578267634941554,-25.04259278227322
2012-11-25,-32.60163203255657,-29.64072343472578,-32.01520912547529,-52.578267634941554,-25.04259278227322
2012-11-26,-42.68292820215539,-40.11976622464943,-42.20532319391636,-59.66850732205311,-13.798977431800342
2012-11-27,-38.86179958877965,-36.9760498502845,-41.596958174904955,-63.81215472332244,-11.073244221380051
2012-11-28,-30.975611074069164,-35.6287339892299,-34.98098859315591,-61.97053146881918,-15.332198094847914
2012-11-29,-34.065047142637106,-38.77245920706446,-39.77186311787073,-65.19336970351839,-22.657576223155463
2012-11-30,-25.36586691147352,-38.02395236058294,-35.741444866920155,-63.81215472332244,-18.228276827477906
2012-12-01,-25.36586691147352,-38.02395236058294,-35.741444866920155,-63.81215472332244,-18.228276827477906
2012-12-02,-25.36586691147352,-38.02395236058294,-35.741444866920155,-63.81215472332244,-18.228276827477906
