Date,NE능률,덕성,삼부토건,신원종합개발,안랩
2022-01-28,12600,15000,1540,9270,76500
2022-02-03,12950,15250,1615,9140,76400
2022-02-04,13250,15750,1630,9200,71100
2022-02-07,13550,15750,1725,9000,79100
2022-02-08,13800,15800,2240,9800,73100
2022-02-09,14000,15850,2465,9780,75200
2022-02-10,13200,15150,2295,9380,74200
2022-02-11,13600,15300,2150,9290,72800
2022-02-14,13850,15150,2085,8620,70000
2022-02-15,12600,13650,1990,8150,67400
2022-02-16,13450,14300,2080,8730,68700
2022-02-17,14400,14900,2065,8800,68000
2022-02-18,15450,17100,2130,9590,70100
2022-02-21,14700,16850,2105,9270,68500
2022-02-22,13350,15150,2060,8510,67300
2022-02-23,13700,15250,2075,8430,67700
2022-02-24,12300,14100,1975,7820,65000
2022-02-25,13400,15150,2095,8030,68800
2022-02-28,12700,14500,2160,7470,65000
2022-03-02,12400,14400,2185,7450,66000
2022-03-03,12900,15000,2425,7840,70800
2022-03-04,12050,14450,2420,8050,69300
2022-03-07,10850,12900,2495,7500,67000
2022-03-08,9040,10800,2175,7100,70800
2022-03-10,9070,10000,2825,9230,73800
2022-03-11,8330,9390,2985,10700,86500
2022-03-14,7860,9270,3000,11800,91400
2022-03-15,7800,9220,2840,11800,90000
2022-03-16,8120,9400,3120,13400,87500
2022-03-17,8140,9520,3080,13250,91200
2022-03-18,8060,9420,3090,12800,101700
2022-03-21,8060,9350,3065,13100,114700
2022-03-22,7980,9260,3100,13500,135300
2022-03-23,9100,9910,3190,14300,175800
2022-03-24,8920,10050,3135,14450,145000
2022-03-25,8680,9820,3230,14100,135700
2022-03-28,8720,9900,3165,14000,133500
2022-03-29,8540,9600,3000,13700,139100
2022-03-30,8390,9500,2900,12900,122800
2022-03-31,8440,9500,2805,12850,123800
2022-04-01,8450,9480,2785,12700,119600
2022-04-04,8410,9460,2650,12400,118800
2022-04-05,8310,9470,2685,12250,121600
2022-04-06,8180,9310,2790,11800,116000
2022-04-07,7940,9000,2730,11100,114900
2022-04-08,7930,9100,2660,11150,111200
2022-04-11,7990,9120,2550,10700,110400
2022-04-12,7850,8820,2520,10900,107300
2022-04-13,7920,8840,2480,10300,105500
2022-04-14,7860,8770,2435,10350,103900
2022-04-15,7730,8610,2550,11100,98500
2022-04-18,7470,8550,2640,11000,100300
