Date,바른손,에이엔피,디오,국보디자인,신일산업,우리들제약,화인베스틸,대한제강,조광페인트,유성티엔에스
2017-03-24,9940,14804,28150,15750,1980,18850,2715,10900,10900,5620
2017-03-27,11350,16076,28500,15900,2010,22450,2785,11000,11000,5950
2017-03-28,11400,15393,29000,15850,2015,24750,2790,11050,11500,5720
2017-03-29,11500,16076,29200,15650,2055,26900,2830,11150,11350,5940
2017-03-30,11000,15331,29000,15500,2060,26550,2830,10750,11400,5740
2017-03-31,10700,15331,32100,15450,2150,27300,2855,11250,11550,5760
2017-04-03,10200,16076,32100,16050,2280,25650,2810,11050,11650,5590
2017-04-04,7210,13966,33700,15900,2280,18650,2590,10700,11400,5030
2017-04-05,8150,14431,33800,15900,2385,21250,2635,10700,11300,4980
2017-04-06,7880,13314,34000,15850,2380,20000,2570,10800,11200,4750
2017-04-07,8010,12755,33550,15750,2380,20200,2565,10750,11100,4770
2017-04-10,7580,11514,33000,15400,2230,17900,2400,10250,10850,4455
2017-04-11,7230,10924,32850,15350,2180,17050,2420,10400,10950,4405
2017-04-12,6940,10924,33500,15250,2080,17100,2440,10300,11000,4735
2017-04-13,6320,10862,33600,15150,2085,16450,2420,10300,11000,4755
