Date,써니전자,콤텍시스템,우성사료,솔고바이오메디칼,한국정보공학,미래산업,휴맥스,다믈멀티미디어,브리지텍,아남전자
2017-03-24,5260,1065,45000,24012,5810,8264,10978,6510,7450,3260
2017-03-27,6830,1162,58500,23896,6000,8601,10794,7950,7440,3290
2017-03-28,7510,1162,57400,23978,5920,8544,10978,7740,7650,3315
2017-03-29,7790,1204,65600,24217,6410,11094,10886,8000,7850,3645
2017-03-30,7870,1210,66300,25445,6520,11879,10932,8640,7650,4280
2017-03-31,7920,1185,62800,25220,6500,11542,10978,8560,7710,5500
2017-04-03,7890,1214,60000,25506,6300,11710,10932,8390,7750,5500
2017-04-04,6100,1118,47700,24810,5900,9385,10840,6610,8500,3850
2017-04-05,7700,1185,50900,24933,6170,10786,10932,7840,9300,3570
2017-04-06,8000,1185,47800,25097,5950,10282,10886,7380,9120,3850
2017-04-07,8130,1181,49200,25220,5980,10282,10886,7300,9990,3800
2017-04-10,8190,1132,48200,24756,5880,10226,10840,7110,10300,3210
2017-04-11,8000,1138,46100,24299,5610,9805,10748,6700,9760,3430
2017-04-12,7300,1115,44200,24121,5460,9525,10702,6190,9610,3045
2017-04-13,6880,1158,43650,24237,5510,9160,10702,5870,9160,3100
