Date,써니전자,콤텍시스템,우성사료,솔고바이오메디칼,한국정보공학,미래산업,휴맥스,다믈멀티미디어,브리지텍,아남전자
2017-03-30,7870,1210,66300,25445,6520,11879,10932,8640,7650,4280
2017-03-31,7920,1185,62800,25220,6500,11542,10978,8560,7710,5500
2017-04-03,7890,1214,60000,25506,6300,11710,10932,8390,7750,5500
2017-04-04,6100,1118,47700,24810,5900,9385,10840,6610,8500,3850
2017-04-05,7700,1185,50900,24933,6170,10786,10932,7840,9300,3570
2017-04-06,8000,1185,47800,25097,5950,10282,10886,7380,9120,3850
2017-04-07,8130,1181,49200,25220,5980,10282,10886,7300,9990,3800
2017-04-10,8190,1132,48200,24756,5880,10226,10840,7110,10300,3210
2017-04-11,8000,1138,46100,24299,5610,9805,10748,6700,9760,3430
2017-04-12,7300,1115,44200,24121,5460,9525,10702,6190,9610,3045
2017-04-13,6880,1158,43650,24237,5510,9160,10702,5870,9160,3100
2017-04-14,6090,1105,44400,23869,5050,9077,10702,5480,9000,2875
2017-04-17,6740,1122,46200,24073,5220,9329,10702,5670,9070,2910
2017-04-18,6460,1115,45800,24012,5280,9133,10655,5340,9110,3780
2017-04-19,6410,1148,46000,24039,5320,9189,10886,5280,8910,3940
2017-04-20,6270,1126,43550,23951,5210,8993,10932,5080,9000,4150
2017-04-21,5630,1126,41000,23787,5160,8825,10886,4815,8900,3920
2017-04-24,4750,1056,39300,23179,5040,8432,10932,4380,8290,3645
2017-04-25,4830,1076,39250,23296,5070,8572,10978,4455,8430,3660
2017-04-26,4615,1079,39200,23691,5000,8489,10978,4465,8300,3920
2017-04-27,4240,1076,39900,23323,4975,8264,11071,4395,8310,3650
2017-04-28,4075,1065,39600,23070,5020,8237,10978,4380,8320,3685
2017-05-02,3325,1040,35100,22661,4830,8068,10886,3930,8360,3630
2017-05-04,3210,1070,36200,22722,4705,8068,10886,3855,8530,3545
2017-05-08,3025,1073,36500,23323,4580,8096,10886,3685,8550,3285
2017-05-10,3030,1056,34000,22927,4655,8068,10794,3780,8360,3315
2017-05-11,2990,1076,34050,22866,4745,8180,10794,3800,8330,3180
2017-05-12,3020,1079,34300,22804,4655,8096,10748,3685,8190,3700
2017-05-15,3050,1079,33900,22688,4605,8124,10748,3740,7900,3710
2017-05-16,2950,1046,33200,22579,4520,7984,10563,3790,7650,3480
2017-05-17,3070,1056,33900,22401,4405,7900,10517,3810,7480,3435
2017-05-18,3000,1036,34000,22149,4370,7732,10517,3720,7560,3540
2017-05-19,3100,1065,34650,22258,4375,7928,10379,3720,7850,3565
2017-05-22,3045,1056,34550,22115,4380,7928,10240,3795,7770,3655
2017-05-23,3080,1063,34750,21944,4465,7900,10379,3750,7910,3525
2017-05-24,3020,1070,34400,21924,4445,7815,10563,3690,7820,3730
2017-05-25,3015,1086,34300,22374,4400,7760,10379,3685,7610,3605
2017-05-26,3015,1073,34300,22374,4400,7872,10379,3660,7620,3555
2017-05-29,3055,1040,33650,22211,4355,7788,10471,3590,7500,3410
2017-05-30,3095,1053,33950,22319,4275,7788,10425,3745,7710,3450
2017-05-31,3095,1053,34100,22606,4335,7844,10517,3755,7700,3340
2017-06-01,3115,1053,34300,22893,4790,7872,10794,3725,7860,3220
2017-06-02,3115,1079,34000,22688,4660,7872,10886,3705,7900,3180
2017-06-05,3040,1079,34200,23009,4710,7928,10886,3620,7790,3120
2017-06-07,3070,1076,33950,23323,4715,8068,10840,3610,7910,3225
2017-06-08,3045,1065,33800,22948,4640,7928,10932,3605,7860,3165
2017-06-09,3050,1063,33500,22975,4635,7956,11071,4065,7910,3155
2017-06-12,3030,1065,33050,22804,4550,8012,10932,4140,7720,3055
2017-06-13,3010,1053,33900,23070,4525,7956,10978,4240,7720,3060
2017-06-14,3000,1063,34300,22975,4440,8012,11071,4090,7900,3135
2017-06-15,2970,1053,34100,22866,4470,8012,11024,4190,7770,3170
2017-06-16,2995,1030,33800,23091,4465,8068,10702,4045,7720,3140
