Date,두올산업,세우글로벌,토탈소프트뱅크,한국선재,동방선기,영화금속,보광산업,홈센타홀딩스,휴맥스홀딩스
2017-03-21,1286,7420,3620,3510,2741,1985,9100,2248,6460
2017-03-22,1159,7090,3460,3450,2764,1940,9040,2212,6410
2017-03-23,1076,6640,3440,3460,2724,1895,9070,2256,6380
2017-03-24,1109,6440,3275,3400,2707,1895,9050,2206,6380
2017-03-27,1254,6950,3205,3420,2678,1900,9080,2220,6440
2017-03-28,1324,7910,3365,3500,2781,1935,9330,2293,6460
2017-03-29,1301,7970,3355,3495,2844,1915,9230,2276,6440
2017-03-30,1226,7420,3110,3405,2844,1900,9190,2264,6690
2017-03-31,1234,7650,3200,3435,2810,1900,9100,2293,6560
2017-04-03,1116,6920,3240,3395,2793,1895,9010,2303,6630
2017-04-04,972,6200,3075,3285,2707,1875,8600,2220,6460
2017-04-05,944,6250,3100,3245,2673,1875,8550,2220,6500
2017-04-06,914,6310,3020,3195,2707,1865,8270,2171,6470
2017-04-07,919,6340,3085,3215,2690,1865,8200,2152,6480
2017-04-10,832,6120,2970,3070,2604,1780,8310,2068,6660
