Date,두올산업,세우글로벌,토탈소프트뱅크,한국선재,동방선기,영화금속,보광산업,홈센타홀딩스,휴맥스홀딩스
2017-03-30,1226,7420,3110,3405,2844,1900,9190,2264,6690
2017-03-31,1234,7650,3200,3435,2810,1900,9100,2293,6560
2017-04-03,1116,6920,3240,3395,2793,1895,9010,2303,6630
2017-04-04,972,6200,3075,3285,2707,1875,8600,2220,6460
2017-04-05,944,6250,3100,3245,2673,1875,8550,2220,6500
2017-04-06,914,6310,3020,3195,2707,1865,8270,2171,6470
2017-04-07,919,6340,3085,3215,2690,1865,8200,2152,6480
2017-04-10,832,6120,2970,3070,2604,1780,8310,2068,6660
2017-04-11,887,6330,2920,3145,2547,1805,8220,2101,6450
2017-04-12,899,6560,2955,3125,2575,1790,7980,2080,6400
2017-04-13,852,6180,3000,3135,2564,1790,7530,2003,6380
2017-04-14,792,5830,2910,3075,2449,1785,7330,1968,6340
2017-04-17,812,5600,2995,3135,2478,1810,7560,2026,6330
2017-04-18,804,5430,3035,3135,2478,1840,7600,2051,6290
2017-04-19,799,5290,3060,3140,2478,1825,7710,2085,6290
2017-04-20,794,5160,3085,3190,2530,1870,7690,2059,6220
2017-04-21,849,5420,3170,3140,2524,1860,7410,2026,6240
2017-04-24,789,4720,3040,3070,2461,1800,7110,1986,6180
2017-04-25,829,4880,3035,3080,2467,1810,7230,1997,6220
2017-04-26,834,4950,3000,3115,2467,1830,7320,2018,6260
2017-04-27,819,5150,2985,3115,2455,1820,7120,2000,6310
2017-04-28,819,5210,3005,3200,2472,1810,7030,1978,6290
2017-05-02,769,4360,2915,3185,2455,1820,7150,1984,6210
2017-05-04,742,4060,2960,3180,2455,1840,7380,2080,6220
2017-05-08,714,3870,2965,3220,2449,1835,7280,2070,6220
2017-05-10,699,3730,2965,3465,2501,1840,7220,2076,6210
2017-05-11,687,3640,3000,3490,2604,1865,7230,2112,6200
2017-05-12,694,3670,2995,3450,2575,1870,7250,2091,6190
2017-05-15,704,3710,2990,3460,2570,1855,7220,2120,6160
2017-05-16,704,3620,2930,3515,2530,1820,7050,2108,6110
2017-05-17,709,3720,2875,3450,2535,1830,7020,2098,6080
2017-05-18,702,3680,2765,3365,2489,1715,6780,2072,6040
2017-05-19,712,3670,2805,3420,2530,1780,6810,2083,6020
2017-05-22,714,3780,2810,3490,2512,1755,6920,2171,6030
2017-05-23,724,3720,2805,3535,2530,1755,6860,2150,6050
2017-05-24,722,3870,2805,3470,2570,1780,6780,2122,6030
2017-05-25,729,3870,2875,3465,2552,1780,6840,2139,6010
2017-05-26,724,3870,2890,3460,2575,1775,6760,2158,6090
2017-05-29,714,3880,2800,3590,2570,1790,6610,2114,6060
2017-05-30,744,3950,2780,3520,2564,1880,6660,2131,6040
2017-05-31,752,4090,2780,3485,2547,1830,6680,2124,6040
2017-06-01,749,4140,2770,3400,2570,1840,6740,2120,6130
2017-06-02,749,4140,2835,3420,2587,1820,6820,2112,6160
2017-06-05,722,3970,2995,3415,2598,1800,6890,2036,6170
2017-06-07,737,4140,2990,3490,2592,1815,6770,2018,6160
2017-06-08,729,4220,2950,3465,2552,1790,6620,2011,6130
2017-06-09,744,4230,3045,3450,2518,1790,6600,2013,6140
2017-06-12,752,4230,2940,3370,2530,1770,6430,2003,6070
2017-06-13,769,4280,2935,3370,2530,1775,6430,2003,6100
2017-06-14,762,4260,2980,3460,2535,1800,6380,2013,6140
2017-06-15,749,4210,3080,3400,2495,1795,6280,2007,6110
2017-06-16,777,4370,3040,3430,2558,1830,8160,2112,6100
